what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915287500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915288380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915299109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915300285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915302106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915303451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1564915308143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564915329620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564915335275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915336217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915337477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915344435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915347982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915349617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915351014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915352792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915353769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915355409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915360782
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564915366219
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564915366284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915368476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915385450
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915387515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1564915391736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564915393465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915399015
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564915400475
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915404011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915404561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915408186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564915413170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564915415405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915417983
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564915419255
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915424281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915427218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915429687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915431983
