what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1564849897369
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1564849897369
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1564849897384
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1564849897384
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1564849897384
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1564849897384
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1564849897384
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1564849897400
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1564849897400
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1564849897431
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1564849897447
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1564849897462
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1564849897462
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1564849897478
os,sysinfo,,,"win32",1564849897494
arch,sysinfo,,,"x86_64",1564849897494
ws,sysinfo,,,"win32",1564849897494
locale,sysinfo,,,"en_IN",1564849897494
processors,sysinfo,,,"4",1564849897494
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1564849897494
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1564849897494
java.specification.name,sysinfo,,,"Java Platform API Specification",1564849897494
java.specification.vendor,sysinfo,,,"Oracle Corporation",1564849897494
java.specification.version,sysinfo,,,"1.8",1564849897494
java.vendor,sysinfo,,,"Oracle Corporation",1564849897494
java.version,sysinfo,,,"1.8.0_211",1564849897494
java.vm.info,sysinfo,,,"mixed mode",1564849897494
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1564849897494
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1564849897494
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1564849897494
java.vm.specification.version,sysinfo,,,"1.8",1564849897494
