what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1564895409346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1564895410682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895412690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895414868
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1564895414898
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1564895416003
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1564895417996
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findIncremental",1564895420936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895422606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895424407
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1564895424427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895427111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895429449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.print",1564895429484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895431228
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.quick_outline",1564895431258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895436340
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.active.elements",1564895437530
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Execute",1564895438880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895442931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.openEditorDropDown",1564895442951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895445178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895446495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895448219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1564895448229
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1564895450756
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1564895451212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564895475826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564895481442
