what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852217160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852220474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852221456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564852233591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1564852234887
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1564852238412
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1564852239496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852244930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852245766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852249794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852250557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852259682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852260382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852264874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852266692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852268416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852268943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852276041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852276948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852293801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852295665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852297278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852298241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852298799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852300368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564852301741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1564852305416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852310741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852312162
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1564852312207
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564852312337
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564852312382
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564852317783
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564852319998
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564852321521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564852325691
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564852329134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852329149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852330299
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564852333632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564852338252
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564852339177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852348248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564852351032
